Location,Price,Size,Bedrooms,Bathrooms,Basement,Furnished,Roommates,AC,Washer/Dryer,Cats OK,Dogs OK,Date Posted,Title,URL,Listing ID
Burnaby,7500,2000,3,3,0,0,0,1,1,0,0,2024-10-21,Luxury Penthouse 3 Bedroom 3 Bathroom @Concord Brentwood,https://vancouver.craigslist.org/bnc/apa/d/burnaby-luxury-penthouse-bedroom/7795458630.html,7795458630
Burnaby,6000,3083,5,3,1,0,0,1,1,1,1,2024-10-22,|SYCAMOREPM.ca| Adorable 5 bed 3 bath home w. Pool in Burnaby Lake,https://vancouver.craigslist.org/bnc/apa/d/burnaby-sycamorepmca-adorable-bed-bath/7795516639.html,7795516639
Burnaby,5200,3300,5,5,1,0,0,0,1,0,0,2024-10-21,Gorgeous  5 Bedroom 4 Full Bath 2 Half Bath Upper Suite @ Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-gorgeous-bedroom-full-bath-half/7795458830.html,7795458830
Burnaby,4000,1080,3,2,0,0,0,1,1,1,1,2024-10-22,Beautiful 3BED+2BATH South facing @Vittorio Polygon,https://vancouver.craigslist.org/van/apa/d/burnaby-beautiful-3bed2bath-south/7795497727.html,7795497727
Burnaby,3800,2955,2,2,0,1,0,0,1,0,0,2024-10-06,2 bed 2 bath HUGE PATIO Terraces at the Peak,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bed-bath-huge-patio-terraces-at/7791091368.html,7791091368
Burnaby,3700,1070,3,2,0,0,0,1,1,1,1,2024-10-22,Brand New 3 Bedroom @ Gilmore Place,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-bedroom-gilmore-place/7795596162.html,7795596162
Burnaby,3350,915,2,2,0,0,0,0,1,0,0,2024-10-14,3901 4900 Lennox Lane,https://vancouver.craigslist.org/bnc/apa/d/burnaby-lennox-lane/7793447479.html,7793447479
Burnaby,3300,1150,3,2.5,0,0,0,0,1,1,1,2024-10-15,Near Metrotown 1150sqft Stunning 3 floors townhouse in Edmonds,https://vancouver.craigslist.org/bnc/apa/d/burnaby-near-metrotown-1150sqft/7793722997.html,7793722997
Burnaby,3300,765,2,2,0,0,0,1,1,1,1,2024-10-01,BRAND NEW 2BED/2BATH @ TAILOR BRENTWOOD,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-2bed-2bath-tailor/7789628495.html,7789628495
Burnaby,3300,898,2,2,0,0,0,1,0,0,0,2024-10-22,$3300 Maywood 2 Beds 2 Baths plus Den,https://vancouver.craigslist.org/bnc/apa/d/burnaby-3300-maywood-beds-baths-plus-den/7795479149.html,7795479149
Burnaby,3300,900,2,2,0,1,0,0,1,0,0,2024-10-22,Prosprise Realty-2 Bed 2 bath Condo in Metrotown REF#23086700,https://vancouver.craigslist.org/bnc/apa/d/burnaby-prosprise-realty-bed-bath-condo/7795474506.html,7795474506
Burnaby,3300,820,2,2,0,0,0,1,1,1,1,2024-10-19,Brand new 2 Beds 2 Baths condo for rent in Brentwood,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-beds-baths-condo-for/7794908379.html,7794908379
Burnaby,3300,740,2,2,0,0,0,1,1,0,0,2024-10-21,Gorgeous 2-Bed 2-Bath apartment for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-gorgeous-bed-bath-apartment-for/7795465138.html,7795465138
Burnaby,3200,833,2,2,0,0,0,0,1,1,1,2024-10-20,PET FRIENDLY 2 BEDS + 2 BATHS + DEN + 2 PARKING IN BURNABY,https://vancouver.craigslist.org/bnc/apa/d/burnaby-pet-friendly-beds-baths-den/7794933528.html,7794933528
Burnaby,3200,830,2,2,0,1,0,0,1,0,0,2024-10-15,2 bed 2 bath South facing highrise,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bed-bath-south-facing-highrise/7793761311.html,7793761311
